episode_id,symbol,side,entry_ts,exit_ts,duration_hours,entry_fills,exit_fills,entry_notional,exit_notional,total_qty,avg_entry_price,avg_exit_price,gross_pnl,fees,net_pnl,regime_at_entry,regime_at_exit,exit_reason,exit_reason_raw,strategy,intent_id,attempt_id,confidence,hybrid_score,conviction_score,conviction_band,entry_regime_confidence,expected_edge,engine_source
EP_0001,BTCUSDT,LONG,2025-12-09T21:43:56.526778+00:00,2025-12-10T04:19:38.202309+00:00,6.59,1,1,185.38,185.21,0.002,92689.8,92606.4,-0.1668,0.1482,-0.315,unknown,unknown,THESIS_INVALIDATED,signal_close,vol_target,ord_6122279609,sig_f7e3bc7439,0.0,0.0,0.0,,0.0,0.0,
EP_0002,BTCUSDT,LONG,2025-12-10T04:19:47.407006+00:00,2025-12-10T04:20:15.548113+00:00,0.01,1,1,185.31,185.1,0.002,92655.0,92550.1,-0.2098,0.1482,-0.358,unknown,unknown,THESIS_INVALIDATED,signal_close,vol_target,ord_32d9631167,sig_9e9d37b529,0.0,0.0,0.0,,0.0,0.0,
EP_0003,BTCUSDT,LONG,2025-12-10T04:20:29.786569+00:00,2025-12-10T04:38:51.521887+00:00,0.31,1,1,185.22,185.01,0.002,92611.6,92504.4,-0.2144,0.1481,-0.3625,unknown,unknown,THESIS_INVALIDATED,signal_close,vol_target,ord_e7651b1fb2,sig_02d40811f5,0.0,0.0,0.0,,0.0,0.0,
EP_0004,BTCUSDT,LONG,2025-12-10T04:39:07.138556+00:00,2025-12-10T04:40:33.568238+00:00,0.02,1,1,185.87,185.01,0.002,92932.5,92504.4,-0.8562,0.1483,-1.0045,unknown,unknown,THESIS_INVALIDATED,signal_close,vol_target,ord_2ad4d05663,sig_1f2bae10b6,0.0,0.0,0.0,,0.0,0.0,
EP_0005,BTCUSDT,LONG,2025-12-10T04:40:41.759010+00:00,2025-12-10T04:42:14.796253+00:00,0.03,1,1,185.04,185.06,0.002,92521.7,92529.8,0.0162,0.148,-0.1318,unknown,unknown,THESIS_INVALIDATED,signal_close,vol_target,ord_8b5897bd91,sig_1b6d903d66,0.0,0.0,0.0,,0.0,0.0,
EP_0006,BTCUSDT,LONG,2025-12-10T04:42:32.547789+00:00,2025-12-10T11:06:02.463316+00:00,6.39,1,1,185.06,184.58,0.002,92529.9,92288.5,-0.4828,0.1479,-0.6307,unknown,unknown,TAKE_PROFIT,tp,vol_target,ord_c9eb7c76e3,sig_dc64f44a69,0.0,0.0,0.0,,0.0,0.0,
EP_0007,BTCUSDT,LONG,2025-12-10T11:06:22.160825+00:00,2025-12-10T11:22:29.690262+00:00,0.27,1,2,279.22,276.84,0.003,93073.0,92280.0,-2.379,0.2224,-2.6014,unknown,unknown,TAKE_PROFIT,tp,vol_target,ord_03ebc12034,sig_ea47648314,0.0,0.0,0.0,,0.0,0.0,
EP_0008,BTCUSDT,LONG,2025-12-10T11:22:47.526336+00:00,2025-12-10T11:24:08.747287+00:00,0.02,1,1,184.62,184.52,0.002,92309.2,92261.3,-0.0958,0.1477,-0.2435,unknown,unknown,TAKE_PROFIT,tp,vol_target,ord_a0e1ac95d1,sig_a6a740aa23,0.0,0.0,0.0,,0.0,0.0,
EP_0009,BTCUSDT,LONG,2025-12-10T11:24:28.498785+00:00,2025-12-10T12:06:11.598593+00:00,0.7,1,1,184.56,184.07,0.002,92279.6,92033.1,-0.493,0.1475,-0.6405,unknown,unknown,TAKE_PROFIT,tp,vol_target,ord_25df7fe444,sig_2f71ead23e,0.0,0.0,0.0,,0.0,0.0,
EP_0010,BTCUSDT,LONG,2025-12-10T12:06:29.983401+00:00,2025-12-10T12:07:47.343771+00:00,0.02,1,1,184.08,183.8,0.002,92039.0,91900.0,-0.278,0.1472,-0.4252,unknown,unknown,TAKE_PROFIT,tp,vol_target,ord_02ba03dcff,sig_7e7b5790eb,0.0,0.0,0.0,,0.0,0.0,
